Model,RMSE,MAE,R2
Random Forest,1.0649642932777363,0.7710440578733891,0.7173049965771294
Linear Regression,1.0733722729681758,0.8024880566277317,0.7128235754674659
Gradient Boosting,1.0799503924620872,0.7860819403771518,0.7092928909832463
